PIC;URAIAN KEGIATAN/ PROGRAM;;;;Juni;;;;Juli;;;;Agustus;;;;September;;;;Oktober;;;;November;;;;Desember;;;;Januari;;;;Februari;;;;Maret;;;;PIC;Catatan
;;;;;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;;
DANTA;Proyek Hutan Pertamina Mahakam Fase-2 P2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DANTA
;;Climate (62.055 bibit + 5% buffer);;Term Of Reference;0,08%;0,08%;0,08%;0,08%;0,08%;0,08%;0,08%;0,08%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Climate (62.055 bibit + 5% buffer);;Proposal;;;;;;;;;;;0,08%;0,08%;0,08%;0,08%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Climate (62.055 bibit + 5% buffer);;Negosiasi Kerja sama;;;;;;;;;;;;;;;;;0,08%;0,08%;0,08%;0,08%;0,08%;0,08%;0,08%;0,08%;0,08%;;;;;;;;;;;;;;;;;
;;Climate (62.055 bibit + 5% buffer);;Kontrak;;;;;;;;;;;;;;;;;;;;;;;;;;;0,08%;0,08%;0,08%;0,08%;0,08%;0,08%;;;;;;;;;;
;;Climate (62.055 bibit + 5% buffer);;Persiapan Ajir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,08%;0,08%;0,08%;;;;;;;
;;Climate (62.055 bibit + 5% buffer);;Pelaporan Mitra ke PF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,08%;0,08%;0,08%;0,08%;;;
;;Comunity Development;;Pengolahan produk pelet ikan dan produk turunan dari hasil perikanan budidaya terintegrasi dengan EBT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,08%;0,08%;0,08%;0,08%;0,08%;0,08%;;;;;;;;
;;;;Beban Tiap Minggu;0,08%;0,08%;0,08%;0,08%;0,08%;0,08%;0,08%;0,08%;0%;0%;0,08%;0,08%;0,08%;0,08%;0%;0%;0,08%;0,08%;0,08%;0,08%;0,08%;0,08%;0,08%;0,08%;0,08%;0%;0,08%;0,08%;0,16%;0,16%;0,16%;0,16%;0,16%;0,16%;0,08%;0,08%;0,08%;0,08%;0,08%;0%;;
;;;;Baseline Scurve;0,08%;0,16%;0,24%;0,32%;0,40%;0,48%;0,56%;0,64%;0,64%;0,64%;0,72%;0,80%;0,88%;0,96%;0,96%;0,96%;1,04%;1,12%;1,20%;1,28%;1,36%;1,44%;1,52%;1,60%;1,68%;1,68%;1,76%;1,84%;2,00%;2,16%;2,32%;2,48%;2,64%;2,80%;2,88%;2,96%;3,04%;3,12%;3,20%;3,20%;;
;;;;Realisasi Tiap Minggu;0,08%;0,08%;0,08%;0,08%;0,08%;0,08%;0,08%;0,08%;0%;0%;0,08%;0,08%;0,08%;0,08%;0%;0%;0,08%;0,08%;0,08%;0,08%;0,08%;0,08%;0,08%;0,08%;0,08%;0%;0,08%;0,08%;0,16%;0,16%;0,16%;0,16%;0,16%;0,16%;0,08%;0,08%;0,08%;0,08%;0,08%;0%;;
;;;;Kumulatif Realisasi;0,08%;0,16%;0,24%;0,32%;0,40%;0,48%;0,56%;0,64%;0,64%;0,64%;0,72%;0,80%;0,88%;0,96%;0,96%;0,96%;1,04%;1,12%;1,20%;1,28%;1,36%;1,44%;1,52%;1,60%;1,68%;1,68%;1,76%;1,84%;2,00%;2,16%;2,32%;2,48%;2,64%;2,80%;2,88%;2,96%;3,04%;3,12%;3,20%;3,20%;;
